filename, beige, black, blue, gray, green, pattren, red, white
green164_jpg.rf.a8d2b4a0a104ff859fc39f1021acc34c.jpg, 0, 0, 0, 0, 1, 0, 0, 0
gray294_jpg.rf.a8f7dd5c53371bcf5edddb9dc2ec739c.jpg, 0, 0, 0, 1, 0, 0, 0, 0
gray136_jpg.rf.a89bbf7020536c1de89a92579b9dc2fb.jpg, 0, 0, 0, 1, 0, 0, 0, 0
black179_jpg.rf.a8bb556dcb61711f6c0f1cec04c449d0.jpg, 0, 1, 0, 0, 0, 0, 0, 0
gray88_jpg.rf.a8c82bdfc3c5a1f6813cd172eef845ca.jpg, 0, 0, 0, 1, 0, 0, 0, 0
green46_jpg.rf.a8b25113bc1d385c424ca2baf462a00c.jpg, 0, 0, 0, 0, 1, 0, 0, 0
red62_jpg.rf.a934fca1a48f8e0f6d3580f113eb6879.jpg, 0, 0, 0, 0, 0, 0, 1, 0
red156_jpg.rf.a8bad259473d41741e43b9aa684b2e1d.jpg, 0, 0, 0, 0, 0, 0, 1, 0
beige60_jpg.rf.a8c166b169657a4d822497fbe2b83fd3.jpg, 1, 0, 0, 0, 0, 0, 0, 0
pattren54_jpg.rf.a959647b8dd48c2b60a04efc81e5f64e.jpg, 0, 0, 0, 0, 0, 1, 0, 0
green116_jpg.rf.a909782a00d719ae41e56c5193e807a3.jpg, 0, 0, 0, 0, 1, 0, 0, 0
black21_jpg.rf.a8bc21af921c75ce314fdef24a765524.jpg, 0, 1, 0, 0, 0, 0, 0, 0
gray151_jpg.rf.a9550aee02c348f177edf0ad55a0c4f0.jpg, 0, 0, 0, 1, 0, 0, 0, 0
red233_jpg.rf.a9351deb3e21ae18a51fb4adc9ca6f85.jpg, 0, 0, 0, 0, 0, 0, 1, 0
beige118_jpg.rf.a90faa2228f03352c84230a120a8ea80.jpg, 1, 0, 0, 0, 0, 0, 0, 0
red176_jpg.rf.a96c12ca5ac2b0c8cb3bc75cf1ee174d.jpg, 0, 0, 0, 0, 0, 0, 1, 0
gray167_jpg.rf.a9743d3b6e75998099363a8538ecb9fc.jpg, 0, 0, 0, 1, 0, 0, 0, 0
red52_jpg.rf.a956433e598a1e3a9a527e6ce38409f3.jpg, 0, 0, 0, 0, 0, 0, 1, 0
red282_jpg.rf.a8f9c9dce086b6ee70e0f008dad3cf1b.jpg, 0, 0, 0, 0, 0, 0, 1, 0
white157_jpg.rf.a9bab80b591c1cffe6b8c9d933289220.jpg, 0, 0, 0, 0, 0, 0, 0, 1
blue152_jpg.rf.a9d06a865eb9d7def5703d8929d706ee.jpg, 0, 0, 1, 0, 0, 0, 0, 0
red161_jpg.rf.a9983e5a0aa6d16a6d47b08025d5807a.jpg, 0, 0, 0, 0, 0, 0, 1, 0
beige22_jpg.rf.a96449aad6b6384b65a6661ffa15cf2d.jpg, 1, 0, 0, 0, 0, 0, 0, 0
beige140_jpg.rf.a9d201600f571071877068cf86c128bf.jpg, 1, 0, 0, 0, 0, 0, 0, 0
red108_jpg.rf.a9bbb5d96d09a7bb584017fdc6a94092.jpg, 0, 0, 0, 0, 0, 0, 1, 0
blue74_jpg.rf.a9fafc3d78591da2b947efcfdbda3d81.jpg, 0, 0, 1, 0, 0, 0, 0, 0
black12_jpg.rf.aa15ed6696eaea7cb80fd45836574f1f.jpg, 0, 1, 0, 0, 0, 0, 0, 0
black23_jpg.rf.aa1ff61516adb606ab93cf8f3ab89f55.jpg, 0, 1, 0, 0, 0, 0, 0, 0
white20_jpg.rf.aa130975e4f6461e2793ceff42af7487.jpg, 0, 0, 0, 0, 0, 0, 0, 1
blue259_jpg.rf.aa4a52be462c76efda2f885e4270591d.jpg, 0, 0, 1, 0, 0, 0, 0, 0
green270_jpg.rf.aa94c256581dddc5bbb1fdc9fe2707d7.jpg, 0, 0, 0, 0, 1, 0, 0, 0
green67_jpg.rf.aa5d014751a13a01143a6c2f9b872977.jpg, 0, 0, 0, 0, 1, 0, 0, 0
green159_jpg.rf.aab57374e2f445f327efddb1deadea32.jpg, 0, 0, 0, 0, 1, 0, 0, 0
red204_jpg.rf.ab238e1a790548987aefb95da3ea24dc.jpg, 0, 0, 0, 0, 0, 0, 1, 0
beige11_jpg.rf.aa3821c5739d0c31799fa19384169cbf.jpg, 1, 0, 0, 0, 0, 0, 0, 0
white174_jpg.rf.aae4f2440ed0826e8fefc3427e369339.jpg, 0, 0, 0, 0, 0, 0, 0, 1
black20_jpg.rf.aac01d0757455c32ae9c982ea535b851.jpg, 0, 1, 0, 0, 0, 0, 0, 0
beige76_jpg.rf.aa8ddd99817981300905da913c4b11fb.jpg, 1, 0, 0, 0, 0, 0, 0, 0
green61_jpg.rf.aa5b4b9debfb2031c8e0e2810928b955.jpg, 0, 0, 0, 0, 1, 0, 0, 0
pattren79_jpg.rf.aa21bbdb88c889c068aafaf514753174.jpg, 0, 0, 0, 0, 0, 1, 0, 0
green62_jpg.rf.ab4b8bc758a997e008e00c5c0cbd5fb2.jpg, 0, 0, 0, 0, 1, 0, 0, 0
blue125_jpg.rf.aa95b3084cdd1d359973b77ef199a05b.jpg, 0, 0, 1, 0, 0, 0, 0, 0
red40_jpg.rf.aa286212ff1198f050138ee854fe750f.jpg, 0, 0, 0, 0, 0, 0, 1, 0
green142_jpg.rf.aab296900faa4c66e57a1c67ef5d61c7.jpg, 0, 0, 0, 0, 1, 0, 0, 0
gray172_jpg.rf.aa86055ede9caaf06e2ad930c18dd515.jpg, 0, 0, 0, 1, 0, 0, 0, 0
gray17_jpg.rf.ab55f657f95a1f2e5b00c385ec7115a2.jpg, 0, 0, 0, 1, 0, 0, 0, 0
beige149_jpg.rf.aaf2507ad84aefae4e9b36004979f137.jpg, 1, 0, 0, 0, 0, 0, 0, 0
white117_jpg.rf.ab21cf076bd2fcc094b7d8dbac448098.jpg, 0, 0, 0, 0, 0, 0, 0, 1
green319_jpg.rf.aae140b3754e40545eda059e81f28e67.jpg, 0, 0, 0, 0, 1, 0, 0, 0
